SupplierID,SupplierName,EvaluationDate,EvaluationPeriod,QualityScore,DeliveryScore,CostScore,InnovationScore,ResponsivenessScore,SustainabilityScore,OverallScore,Category,BusinessUnit,Evaluator,Comments,ImprovementPlan,NextReviewDate,TrendIndicator
TW_SUP_0135,Chem Lee Dynamics,2024-03-04,Q2 2023,9,4,8,2,4,8,6.2,Pipeline & Network Maintenance,Asset Management Strategy,Patricia Martin,Adequate performance but minimal value-added contributions.,Monthly executive reviews until performance stabilizes,2024-07-09,Improving
TW_SUP_0027,London Johnson Systems,2023-07-08,Q3 2022,5,10,3,6,6,9,6.4,Professional Services,"Health, Safety & Environment",Daniel Davis,Meets contractual obligations with little additional value.,Formal improvement plan with 90-day reassessment,2023-12-30,Stable
TW_SUP_0071,Pipe Davis PLC,2024-09-15,Q4 2023,7,9,4,3,3,9,6.3,Mechanical & Electrical Engineering,Capital Delivery Programmes,Margaret King,Adequate performance but minimal value-added contributions.,Weekly performance review meetings for 3 months,2025-01-21,Improving
TW_SUP_0083,Enviro Walker PLC,2024-10-28,Q4 2023,10,9,7,6,5,3,7.5,Research & Development,Network Operations & Maintenance,Linda Anderson,Solid service delivery with good communication.,No improvement plan needed - performance exceeds requirements,2025-02-20,Stable
TW_SUP_0125,Severn Hall Dynamics,2023-08-14,Q3 2022,5,4,8,6,7,4,5.6,Chemicals Supply,Asset Management Strategy,Charles Jones,Meets basic requirements but lacks consistency.,Weekly performance review meetings for 3 months,2024-01-04,Stable
TW_SUP_0131,Digital King Dynamics,2024-12-25,Q1 2024,6,8,7,7,8,9,7.3,Facilities Management,Water Production & Treatment,Mary Wright,Consistently meets requirements with some areas of strength.,No improvement plan needed - performance exceeds requirements,2025-04-02,Improving
TW_SUP_0147,Tech Clark Consulting,2024-02-15,Q1 2023,10,4,3,9,5,2,5.7,IT & Technology Solutions,Finance & Regulation,Margaret Thompson,Adequate performance but minimal value-added contributions.,Monthly executive reviews until performance stabilizes,2024-08-01,Stable
TW_SUP_0006,Severn Allen Solutions,2024-10-23,Q4 2023,4,3,7,7,4,6,4.9,Customer Service Solutions,Asset Management Strategy,Jennifer White,Inconsistent quality and reliability causing operational impacts.,Formal improvement plan with 90-day reassessment,2025-04-10,Declining
TW_SUP_0047,Cyber Scott Ltd,2025-05-08,Q2 2024,10,10,4,4,10,7,7.9,Heavy Plant & Equipment Hire,Customer Operations & Retail,Charles Lee,Dependable supplier with strong operational delivery.,No improvement plan needed - performance exceeds requirements,2025-09-25,Declining
TW_SUP_0039,Thames Scott Ltd,2023-10-13,Q4 2022,3,3,8,6,8,9,5.4,Leakage Detection Services,Procurement & Supply Chain,David Anderson,Standard service with occasional quality concerns.,Supplier development program participation required,2024-01-31,Improving
TW_SUP_0150,Data Williams Consulting,2024-12-28,Q1 2024,5,4,6,4,3,5,4.7,Mechanical & Electrical Engineering,Water Production & Treatment,Michael Walker,Inconsistent quality and reliability causing operational impacts.,Monthly executive reviews until performance stabilizes,2025-06-22,Declining
TW_SUP_0091,Severn Williams Services,2024-10-04,Q4 2023,8,10,6,6,9,4,7.6,Chemicals Supply,Customer Operations & Retail,John Jones,Reliable performance with occasional excellence in key areas.,Quality management system review,2025-02-21,Stable
TW_SUP_0002,Flow Walker Solutions,2023-09-30,Q4 2022,6,10,7,6,5,5,7.0,Customer Service Solutions,Customer Operations & Retail,Michael Lee,Good overall performance with room for improvement in innovation.,No improvement plan needed - performance exceeds requirements,2024-02-23,Stable
TW_SUP_0134,Enviro Allen Dynamics,2023-07-31,Q3 2022,5,7,10,6,6,9,7.1,IT & Technology Solutions,IT & Digital Transformation,Karen Martin,Dependable supplier with strong operational delivery.,Formal improvement plan with 90-day reassessment,2023-11-21,Improving
